checkpoint_index,family,seed,system_id,fractional_bleu4,bleu_0_100,empty_count,empty_rate,hyp_tokens,ref_tokens,hyp_ref_token_ratio,brevity_penalty,precision_1,precision_2,precision_3,precision_4,signature
1,matched,101,PT-v1,0.022733428195000117,2.273342819500012,0,0.0,8367,8444,0.9908810990052108,0.990839395746361,21.130632245727263,3.015790836137717,1.0016930022573363,0.43410852713178294,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
1,matched,101,TN-PTCOMP-v1,0.07923110257078299,7.923110257078299,0,0.0,7612,8444,0.901468498342018,0.8964604494585604,29.545454545454547,9.252617988810787,5.545023696682464,4.02531200562489,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
1,matched,101,TN-PURE-v1,0.08654601488057759,8.654601488057759,0,0.0,7390,8444,0.87517764092847,0.8670790159583316,30.554803788903925,10.297821899540672,6.4833005893909625,4.865556978233035,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
4,matched,1304,PT-v1,0.02063964692944116,2.063964692944116,0,0.0,8115,8444,0.9610374230222644,0.9602686347581072,21.515711645101664,2.8231201498528233,0.9070958302852963,0.38734667527437056,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
4,matched,1304,TN-PTCOMP-v1,0.08575745232806209,8.57574523280621,0,0.0,8085,8444,0.957484604452866,0.9565681762688734,29.882498453927024,9.484148307361634,5.732764956636778,3.9759818240830898,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
4,matched,1304,TN-PURE-v1,0.08621104541487559,8.62110454148756,0,0.0,7680,8444,0.9095215537659876,0.9053088102722588,30.8203125,10.228725671260122,6.0800250078149425,4.29042904290429,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
5,matched,1405,GT-v1,0.08896592442756582,8.896592442756582,0,0.0,7759,8444,0.9188773093320701,0.9155003132048262,31.49890449800232,10.227592020230402,6.237455612166126,4.437971213159698,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
5,matched,1405,PT-v1,0.013907944821006038,1.3907944821006037,0,0.0,8390,8444,0.9936049265750829,0.9935844345745778,19.761620977353992,2.232546134985159,0.5627462014631401,0.15463120457708365,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
5,matched,1405,TN-PTCOMP-v1,0.0836518252205025,8.365182522050251,0,0.0,7850,8444,0.9296541923259118,0.9271232283738255,30.15286624203822,9.266195033985296,5.785627283800244,4.099881896406276,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
5,matched,1405,TN-PURE-v1,0.08174425348124247,8.174425348124247,0,0.0,7481,8444,0.8859545239223117,0.8792147440941416,31.613420665686405,9.722222222222221,5.952572995644458,4.084202950701691,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
6,matched,707,GT-v1,0.07735319125964384,7.735319125964383,0,0.0,7568,8444,0.896257697773567,0.8906973991625469,29.571881606765327,9.16702757326404,5.408845052497614,3.8795394154118688,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
6,matched,707,PT-v1,0.016397121146948825,1.6397121146948825,0,0.0,7749,8444,0.917693036475604,0.9142154692692878,19.396051103368176,2.2791221159257176,0.7576929024277099,0.30895983522142123,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
6,matched,707,TN-PTCOMP-v1,0.07206275209405738,7.206275209405738,0,0.0,7458,8444,0.8832306963524396,0.8761595884763064,29.753285063019575,8.625495085814874,5.035621761658031,3.5411020776874436,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
2,matched,202,GT-v1,0.08813481380113622,8.813481380113622,0,0.0,7445,8444,0.8816911416390336,0.8744291407413756,33.10946944257891,11.008230452674898,6.279409378549408,4.509235784136183,BLEU|nrefs:1|case:mixed|eff:no|tok:13a|smooth:exp|version:2.5.1
